epoch;loss;phoneme_output_loss;syllable_output_loss;val_loss;val_phoneme_output_loss;val_syllable_output_loss
0;0.10316055499312547;0.044020196747346307;0.059140358005375301;0.41360511541823436;0.30498064020160681;0.10862448338071054
1;0.1320290026482378;0.09420335771189095;0.037825644947156074;0.10277548657745875;0.074293012660341107;0.028482473784071559
2;0.10569665726955665;0.075125277974576229;0.030571379097387844;0.095633884719690351;0.068044394645996459;0.027589490128477581
3;0.09955718955275851;0.070475203324949845;0.029081986122743028;0.090078093205429921;0.064014673358252075;0.026063419706305536
4;0.095469924876381645;0.067661170533814138;0.027808754335865795;0.087308965999038285;0.062444836433444707;0.024864129409068774
5;0.092994206262442841;0.065766171042910299;0.027228035152947725;0.084953664262004264;0.059965729400390334;0.024987934701175999
6;0.090513406895592244;0.063902282798550369;0.026611124198000009;0.084512519924079668;0.060338277948879394;0.024174242029983958
7;0.088921243899061711;0.062928135646031544;0.025993108099971587;0.081923432992536474;0.058025023813883796;0.023898409178652682
8;0.087342505210953506;0.061912792249683879;0.025429712891874415;0.080643655560096769;0.057375116993774886;0.023268538715020447
9;0.085945543757844772;0.061038021238636615;0.024907522454352821;0.079044067183462505;0.056263176912144455;0.022780890142185099
10;0.084987439341434975;0.060339553375056525;0.024647885816346443;0.079644003241252495;0.056846819630190101;0.022797183810631519
11;0.083589788023019237;0.059306609730548403;0.024283178433206903;0.079713607473032813;0.056842957396341973;0.022870649630595156
12;0.083054546764883164;0.058991690353942673;0.024062856316251702;0.078342447965210227;0.056006008633921127;0.022336439656078063
13;0.082195865747863861;0.058518692918516135;0.023677172835184713;0.07801546024925568;0.05513443982526034;0.022881020124641663
14;0.081874582677830557;0.058318716576781227;0.023555866210871034;0.076008198704539232;0.054677093730253333;0.021331105056461415
15;0.080981241957653757;0.057622354602166206;0.023358887329113048;0.0781696195236775;0.056426693348824476;0.021742926491815754
16;0.08086098390203332;0.057682756775559486;0.023178227222892096;0.075578097942746988;0.053364383291547038;0.022213714334237224
17;0.079602682018720006;0.056684264989298253;0.022918416979266963;0.076764196188760403;0.054874692331342137;0.02188950384959203
18;0.079531795052100687;0.056561961007358968;0.022969834079115046;0.074810575693845749;0.053656605596677599;0.021153970128473115
19;0.07885748002342638;0.056245720202488927;0.022611759884928043;0.076731600274308392;0.055234666475478339;0.021496933712741407
20;0.079168494629951236;0.05646459637910211;0.02270389833580962;0.074860780867708837;0.053483046700849253;0.021377734209903899
21;0.078564127445386975;0.056058667073529578;0.022505460366668974;0.074716000183790668;0.052912152317516947;0.021803848003232928
22;0.078091608467637214;0.055750607212827284;0.022341001180442483;0.078728926094139326;0.056511014793850796;0.022217911435291171
23;0.077690103133671681;0.055526703711989971;0.022163399498211004;0.072427470847463413;0.051394624181655274;0.021032846771462374
24;0.076993149723390678;0.055001481839160787;0.021991667845532879;0.07481518699278851;0.054021240392026784;0.02079394642858445
25;0.076424724888488879;0.054496747599836845;0.021927977115055935;0.074145148030850067;0.052715998189915125;0.021429149891805499
26;0.076384255496530815;0.054726589164984595;0.021657666367216652;0.073234963238614947;0.05246420415947918;0.020770758969568405
27;0.075966442029788306;0.054121920899483707;0.021844521168785425;0.077010750739263889;0.054982858420420097;0.022027891872748107
28;0.075861473584213857;0.054435265202943436;0.021426208396619507;0.073258305672837906;0.052652822306551855;0.020605483321285173
29;0.075432846139331267;0.054085827250113176;0.021347018912782203;0.072914606148079666;0.051765529391895826;0.021149076462699836
30;0.075322806551540569;0.05391921150215323;0.021403595067546837;0.076502977236479267;0.054481672029159649;0.022021304866878175
31;0.075368030209478229;0.053899923118113251;0.021468107071043636;0.070765739228545121;0.051908537025461679;0.018857202406565684
32;0.074905928717225706;0.053637077597799183;0.021268851246326787;0.072212433489430849;0.050806630731505507;0.021405802671836706
33;0.074859556163502941;0.053838615393060271;0.021020940740393023;0.072307792233944942;0.052199134352703055;0.020108657873415647
34;0.074337560963663882;0.053150492319932331;0.021187068669241312;0.072143698752928184;0.05156106691212714;0.020582631699928716
35;0.074115667727359932;0.053183749885390839;0.020931917891691517;0.075007634253061117;0.053298576398431753;0.021709057799845683
36;0.073617933037843877;0.052575505215816457;0.021042427800625162;0.069786560353862132;0.049995069462461635;0.019791490903139867
37;0.073343311618933996;0.052573136530449906;0.020770175069135578;0.072358561413628716;0.052166413860160764;0.02019214752998923
38;0.073816269388839173;0.052824840684634951;0.020991428708960279;0.07281540733362947;0.051548602497752977;0.021266805011966899
39;0.073216904172658262;0.052364535110906635;0.02085236903797133;0.073779744542196019;0.051952514061782543;0.021827230296496834
40;0.073294704605305544;0.052645953021037327;0.020648751470555199;0.068517776190483271;0.049879639730358326;0.018638136526647985
41;0.072794481831755811;0.052218125799295516;0.020576356032460292;0.071219026635424426;0.051552627955665106;0.019666398583887881
42;0.073248721117857657;0.052520934974873298;0.020727786084614563;0.074196320997566734;0.052543182536458767;0.021653138515891648
43;0.073072597771855333;0.052305196238095382;0.02076740153678654;0.071732357880022343;0.051512920023763883;0.020219437821040385
44;0.072775187633219093;0.052179575381504792;0.020595612397854984;0.070830923872960722;0.05156131202996779;0.019269611771578484
45;0.072706791929409473;0.052158721840266785;0.020548070041582114;0.071365102264685787;0.051519804908072245;0.019845297567922027
46;0.072212290110459126;0.051904039920939816;0.020308250175467318;0.069290464196135021;0.049165160919563113;0.020125303161134867
47;0.072023363377528821;0.051741673712278807;0.020281689717134281;0.069158830891261583;0.050446785610763968;0.018712045932032104
48;0.072416715496872577;0.051992362901264022;0.020424352656788745;0.073018569374034378;0.05199149463857923;0.02102707459849595
